,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
190440,202201,841185,2,57000,0,49,250,0,4,0,0,0,0,40,0,14,0,1,1,42,41,8,0
190446,202201,841192,3,20500,1,31,260,1,4,0,0,0,0,29,0,12,0,0,1,30,29,2,0
190454,202201,841208,2,91000,1,32,500,1,4,1,0,0,0,40,1,16,0,1,1,1,15,17,0
190455,202201,841210,1,60000,0,27,502,0,3,1,0,0,0,40,1,18,1,1,0,27,26,1,0
190456,202201,841210,2,60000,1,26,500,1,3,1,0,0,0,40,1,16,0,1,1,26,25,1,0
190461,202201,841225,3,40000,1,27,500,1,3,1,0,0,0,42,0,14,0,1,1,27,26,1,0
190480,202201,841267,2,150000,0,62,457,0,4,0,0,1,0,40,1,16,0,1,1,43,54,8,0
190481,202201,841274,1,70000,1,61,260,1,4,0,0,0,0,35,1,18,1,0,1,34,44,17,0
190488,202201,841299,1,88000,1,43,300,1,4,0,0,0,0,40,1,16,0,1,1,29,39,4,0
190489,202201,841300,1,49900,1,39,300,1,4,0,0,0,0,37,1,16,0,1,1,11,30,9,0
190494,202201,841306,1,62000,1,62,250,1,4,0,0,1,0,80,1,16,0,1,1,44,55,7,0
190495,202201,841306,2,180000,0,62,250,0,4,0,0,1,0,40,1,16,0,1,1,44,55,7,0
190498,202201,841315,1,85000,1,54,453,1,4,0,0,1,0,38,1,18,1,1,0,7,51,3,0
190504,202201,841340,1,100000,0,68,457,0,4,0,0,1,0,40,1,18,1,1,1,41,67,1,0
190505,202201,841340,3,75000,0,25,457,0,4,0,0,1,0,40,0,14,0,1,1,4,8,17,0
190509,202201,841349,2,110000,0,62,434,0,3,0,0,1,0,40,1,16,0,1,0,48,55,7,0
190510,202201,841350,3,46000,0,44,515,0,4,1,0,0,0,40,0,12,0,1,1,21,32,12,0
190512,202201,841355,1,110000,0,58,436,0,4,0,0,1,0,55,0,12,0,1,0,34,47,11,0
190515,202201,841358,2,68000,1,63,541,1,4,0,0,1,0,45,0,14,0,1,1,47,51,12,0
190516,202201,841365,2,85000,1,30,260,1,3,0,0,0,0,40,1,18,1,0,1,11,13,17,0
190520,202201,841373,2,50000,0,52,502,0,3,1,0,0,0,50,1,16,0,1,0,34,48,4,1
190522,202201,841374,4,79000,0,29,515,0,4,1,0,0,0,35,1,18,1,1,1,4,12,17,0
190523,202201,841374,5,21900,1,23,515,1,4,1,0,0,0,40,1,16,0,1,1,4,12,11,0
190526,202201,841378,1,0,1,29,502,1,4,1,0,0,1,0,1,16,0,1,0,8,21,8,0
190533,202201,841390,1,20100,1,34,250,1,5,0,0,0,0,35,0,12,0,1,1,12,17,17,0
190540,202201,841401,2,102000,0,35,438,0,4,0,0,1,0,40,1,18,1,1,0,10,32,3,0
190541,202201,841406,1,5500,0,54,436,0,3,0,0,1,0,35,0,14,0,1,0,32,38,16,0
190548,202201,841413,2,0,1,48,260,1,3,0,1,0,1,0,0,12,0,0,1,14,37,11,0
190564,202201,841463,2,17500,1,61,260,1,3,0,1,0,0,25,0,12,0,0,1,39,47,14,0
190566,202201,841467,1,120000,1,32,430,1,4,0,0,1,0,40,1,16,0,1,1,19,25,7,0
190579,202201,841498,1,10000,0,34,300,0,4,0,0,1,0,50,1,16,0,1,1,7,20,14,0
190609,202201,841575,1,90000,0,32,210,0,5,0,0,1,0,40,0,11,0,1,1,11,23,9,0
190610,202201,841582,1,110000,0,49,210,0,5,0,0,0,0,45,0,12,0,1,1,23,35,14,0
190611,202201,841582,2,12000,1,50,210,1,5,0,0,0,0,24,0,12,0,1,1,29,35,15,0
190635,202201,841664,3,58000,1,27,515,1,4,1,0,0,0,50,0,13,0,1,1,14,16,11,0
190648,202201,841710,1,0,1,57,260,1,3,0,1,0,1,0,1,18,1,0,1,25,42,15,0
190660,202201,841768,2,80000,0,59,455,0,3,0,0,1,0,40,0,12,0,1,0,32,55,4,0
190664,202201,841795,2,110000,1,63,457,1,4,0,0,1,0,35,1,16,0,1,1,46,52,11,0
190671,202201,841808,1,164000,1,53,300,1,4,0,0,0,0,38,1,18,1,1,1,31,41,12,0
190680,202201,841838,3,4200,0,18,502,0,3,1,0,0,0,9,0,12,0,1,0,19,18,0,0
190685,202201,841846,4,65000,1,26,260,1,4,0,1,0,0,40,0,14,0,0,1,3,21,5,0
190699,202201,841870,1,9000,0,57,260,0,3,0,1,0,0,9,0,12,0,0,1,34,42,15,1
190704,202201,841879,3,8700,1,30,300,1,3,1,0,0,0,40,1,16,0,1,1,17,20,10,0
190708,202201,841890,1,117000,0,62,436,0,4,0,0,1,0,45,0,14,0,1,0,36,46,16,0
190712,202201,841906,1,125000,0,39,465,0,4,0,0,1,0,40,1,18,1,1,1,17,25,14,0
190737,202201,841960,1,2800,1,34,300,1,4,0,0,0,0,25,0,12,0,1,1,6,21,13,0
190747,202201,841980,1,90000,0,52,200,0,5,0,0,0,0,55,0,8,0,1,1,23,35,17,0
190749,202201,841982,1,60000,0,38,300,0,4,0,0,0,0,44,0,13,0,1,1,10,31,7,0
190750,202201,841985,1,14000,0,44,300,0,3,0,0,0,0,28,0,12,0,1,1,10,39,5,0
190751,202201,841985,2,130000,1,38,260,1,3,0,1,0,0,40,1,16,0,0,1,26,32,6,0
190752,202201,841987,1,0,0,60,260,0,4,0,0,1,0,40,0,6,0,0,1,24,54,6,1
190753,202201,841987,2,25000,1,60,260,1,4,0,0,1,0,30,0,12,0,0,1,40,48,12,0
190755,202201,841989,2,65000,1,50,515,1,4,1,0,0,0,40,0,14,0,1,1,32,38,12,0
190771,202201,842040,1,19000,0,68,300,0,4,0,0,1,0,25,0,14,0,1,1,48,55,13,0
190772,202201,842041,1,88000,1,43,200,1,5,0,0,0,0,65,1,18,1,1,1,18,30,13,0
190776,202201,842045,3,40500,1,29,300,1,4,0,0,0,0,35,1,18,1,1,1,7,26,3,0
190778,202201,842045,8,65000,0,44,300,0,5,0,0,0,0,45,0,12,0,1,1,27,31,13,0
190781,202201,842053,1,50000,1,31,260,1,3,0,1,0,0,30,1,18,1,0,1,18,17,14,0
190783,202201,842058,1,240000,0,53,150,0,3,0,0,1,0,55,1,18,1,1,1,38,49,4,0
190796,202201,842079,2,200000,0,52,300,0,3,1,0,0,0,40,1,16,0,1,1,31,35,17,1
190799,202201,842087,1,160000,0,34,502,0,5,1,0,0,0,40,1,18,1,1,0,7,18,16,0
190800,202201,842087,2,100000,1,31,502,1,4,1,0,0,0,40,1,18,1,1,0,4,17,14,0
190804,202201,842099,1,100000,0,40,300,0,4,0,0,1,0,40,1,16,0,1,1,23,33,7,0
190808,202201,842100,3,3000,1,21,260,1,4,0,0,0,0,10,1,16,0,0,1,0,7,14,0
190819,202201,842124,3,5000,0,19,515,0,4,1,0,0,0,30,0,13,0,1,1,12,17,2,0
